bookid,title,authorid,genreid,publisheddate,isbn,pages
37,Vision-oriented value-added data-warehouse,46,61,2001-06-18,978-0-309-56913-2,487
38,Operative contextually-based software,44,61,2022-04-05,978-0-9564528-6-3,796
39,De-engineered incremental protocol,7,95,2014-09-09,978-0-12-770055-7,511
40,Fully-configurable user-facing methodology,23,81,2006-05-26,978-1-189-33370-7,733
41,Innovative bi-directional complexity,90,26,2014-03-08,978-1-328-49662-1,654
42,Networked real-time task-force,16,24,2004-10-05,978-1-5420-2676-5,215
43,Synergized incremental knowledgebase,47,88,2021-12-27,978-0-88734-698-9,383
44,Devolved analyzing groupware,86,45,2014-06-07,978-1-249-67686-7,641
45,Stand-alone transitional installation,78,67,2013-09-25,978-0-900958-57-1,731
46,Ameliorated non-volatile benchmark,58,76,2002-05-07,978-1-70000-055-2,266
47,Diverse context-sensitive attitude,35,98,2000-04-03,978-0-463-31801-0,643
48,Exclusive disintermediate software,94,61,2022-03-02,978-1-230-39668-2,699
49,Business-focused uniform interface,59,12,2006-07-25,978-1-343-43939-9,509
50,User-centric tangible moderator,67,98,2000-10-19,978-1-353-73507-8,460
51,Total bottom-line neural-net,81,48,2011-05-06,978-1-942908-53-1,413
52,Triple-buffered zero tolerance implementation,32,72,2016-09-26,978-0-677-74483-4,964
53,Streamlined directional info-mediaries,87,17,2008-11-02,978-1-143-65202-8,541
54,Business-focused didactic framework,84,50,2007-11-16,978-0-7070-4086-8,920
55,Fully-configurable multi-state paradigm,75,8,2001-05-24,978-0-08-007602-7,906
56,Seamless dynamic frame,69,71,2006-09-01,978-0-7026-4181-7,522
57,Triple-buffered multi-state project,1,34,2010-10-19,978-0-314-23242-7,854
58,Implemented heuristic extranet,33,49,2020-06-08,978-1-292-45151-0,899
59,Adaptive optimal task-force,47,69,2013-12-22,978-0-242-78063-2,112
60,Down-sized user-facing open architecture,74,33,2006-09-11,978-1-348-48605-3,223
61,Streamlined upward-trending process improvement,56,29,2015-02-10,978-0-7382-8508-5,108
62,Up-sized 5thgeneration hardware,89,84,2002-02-03,978-0-87182-071-6,664
63,Exclusive executive concept,7,34,2004-03-19,978-0-388-24643-6,427
64,Enterprise-wide background Internet solution,57,89,2018-06-09,978-1-4979-4253-0,456
65,Digitized coherent conglomeration,4,92,2018-05-31,978-1-926012-79-7,407
66,Synergized maximized approach,57,31,2006-10-02,978-1-83852-906-2,485
67,Networked bifurcated focus group,12,59,2003-09-02,978-1-85917-807-2,226
68,Integrated dynamic complexity,61,60,2003-05-21,978-0-631-06084-0,164
69,Secured analyzing synergy,28,89,2007-11-13,978-1-69126-405-6,556
70,Inverse mobile methodology,45,15,2014-09-22,978-0-460-10261-2,505
71,Organic system-worthy synergy,70,24,2007-06-03,978-0-11-559612-4,662
72,Quality-focused multi-tasking Graphic Interface,80,55,2018-08-04,978-0-9594323-5-0,853
73,Horizontal mobile capacity,11,66,2019-10-07,978-1-192-45255-6,777
74,Triple-buffered optimal archive,45,31,2003-02-02,978-0-7552-9923-2,721
75,Open-source didactic emulation,43,82,2020-09-30,978-0-537-46072-0,277
76,Programmable needs-based definition,19,95,2009-08-21,978-1-4832-6747-0,968
77,Reactive client-server application,65,73,2019-10-06,978-0-07-866988-0,486
78,Switchable methodical encoding,14,32,2004-11-12,978-1-185-65555-1,729
79,Inverse real-time protocol,72,6,2004-07-13,978-0-03-475053-9,649
80,Re-contextualized fault-tolerant Internet solution,70,45,2013-08-09,978-1-9756-7767-1,253
81,Future-proofed full-range architecture,43,61,2000-05-13,978-1-03-722952-7,739
82,Customizable homogeneous protocol,8,53,2023-10-19,978-1-76793-379-4,727
83,Upgradable disintermediate solution,86,32,2024-07-29,978-1-903455-78-4,908
84,Profound high-level product,20,47,2023-01-09,978-1-939752-37-6,985
85,Proactive solution-oriented initiative,12,45,2008-03-27,978-0-87040-960-8,937
86,Total zero-defect approach,28,81,2015-04-11,978-0-637-61360-6,310
87,Reactive client-server data-warehouse,84,47,2007-10-26,978-1-890520-95-3,370
88,Visionary homogeneous website,45,28,2014-12-02,978-1-267-43451-7,229
89,Innovative bifurcated strategy,96,21,2004-12-12,978-0-669-38188-7,410
90,Universal mobile customer loyalty,53,100,2001-01-19,978-1-79428-114-1,193
91,Realigned user-facing access,10,91,2014-01-04,978-0-346-81752-4,383
92,Re-engineered client-driven database,73,52,2016-08-03,978-0-556-73923-4,483
93,Self-enabling next generation knowledgebase,87,33,2011-08-16,978-0-309-41759-4,765
94,Reactive maximized implementation,28,37,2011-01-12,978-1-61397-676-0,718
95,Exclusive real-time Graphic Interface,10,2,2005-08-13,978-1-940556-44-4,255
96,Triple-buffered methodical encryption,36,62,2001-02-01,978-1-58416-808-9,707
97,Ameliorated object-oriented migration,39,62,2023-02-07,978-0-923452-53-7,573
98,Realigned didactic website,25,32,2016-07-07,978-0-465-18326-5,792
99,Persevering even-keeled approach,84,97,2012-11-03,978-0-316-87356-7,289
100,Sharable fault-tolerant alliance,8,62,2023-02-01,978-1-74045-974-7,557
